Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Property_Area,Loan_Status
Male,No,0,Graduate,No,5849,0,Urban,Y
Male,Yes,1,Graduate,No,4583,1508,Rural,N
Male,Yes,0,Graduate,Yes,3000,0,Urban,Y
Male,Yes,0,Not Graduate,No,2583,2358,Urban,Y
Male,No,0,Graduate,No,6000,0,Urban,Y
Male,Yes,2,Graduate,Yes,5417,4196,Urban,Y
Male,Yes,0,Not Graduate,No,2333,1516,Urban,Y
Male,Yes,3+,Graduate,No,3036,2504,Semiurban,N
Male,Yes,2,Graduate,No,4006,1526,Urban,Y
Male,Yes,1,Graduate,No,12841,10968,Semiurban,N
Male,Yes,2,Graduate,No,3200,700,Urban,Y
Male,Yes,2,Graduate,,2500,1840,Urban,Y
Male,Yes,2,Graduate,No,3073,8106,Urban,Y
Male,No,0,Graduate,No,1853,2840,Rural,N
Male,Yes,2,Graduate,No,1299,1086,Urban,Y
Male,No,0,Graduate,No,4950,0,Urban,Y
Male,No,1,Not Graduate,No,3596,0,Urban,Y
Female,No,0,Graduate,No,3510,0,Urban,N
Male,Yes,0,Not Graduate,No,4887,0,Rural,N
Male,Yes,0,Graduate,,2600,3500,Urban,Y
Male,Yes,0,Not Graduate,No,7660,0,Urban,N
Male,Yes,1,Graduate,No,5955,5625,Urban,Y
Male,Yes,0,Not Graduate,No,2600,1911,Semiurban,N
,Yes,2,Not Graduate,No,3365,1917,Rural,N
Male,Yes,1,Graduate,,3717,2925,Semiurban,N
Male,Yes,0,Graduate,Yes,9560,0,Semiurban,Y
Male,Yes,0,Graduate,No,2799,2253,Semiurban,Y
Male,Yes,2,Not Graduate,No,4226,1040,Urban,Y
Male,No,0,Not Graduate,No,1442,0,Urban,N
Female,No,2,Graduate,,3750,2083,Semiurban,Y
Male,Yes,1,Graduate,,4166,3369,Urban,N
Male,No,0,Graduate,No,3167,0,Urban,N
Male,No,1,Graduate,Yes,4692,0,Rural,N
Male,Yes,0,Graduate,No,3500,1667,Semiurban,Y
Male,No,3+,Graduate,No,12500,3000,Rural,N
Male,Yes,0,Graduate,No,2275,2067,Urban,Y
Male,Yes,0,Graduate,No,1828,1330,Urban,N
Female,Yes,0,Graduate,No,3667,1459,Semiurban,Y
